"BehaviorSpace results (NetLogo 6.1.1)"
"complete.nlogo"
"best_case"
"03/10/2020 23:41:18:804 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","100","-25","30"
"[run number]","attacker-number-beach-a","initial-number-defending-b26","initial-number-attacking-b26","initial-number-t33","defender-number-base-a","initial-number-seaFury","attacker-number-beach-b","defender-number-base-b","show-health","defender-number-base-c","show-ammo","[step]","count defenders","count attackers"
"6","15","0","20","0","200","0","15","200","false","100","false","61","500","30"
"3","15","0","20","0","200","0","15","200","false","100","false","56","500","30"
"2","15","0","20","0","200","0","15","200","false","100","false","69","500","30"
"4","15","0","20","0","200","0","15","200","false","100","false","66","498","30"
"1","15","0","20","0","200","0","15","200","false","100","false","63","500","30"
"5","15","0","20","0","200","0","15","200","false","100","false","61","500","30"
"6","15","0","20","0","200","0","15","200","false","100","false","62","500","30"
"2","15","0","20","0","200","0","15","200","false","100","false","70","500","30"
"3","15","0","20","0","200","0","15","200","false","100","false","57","500","30"
"1","15","0","20","0","200","0","15","200","false","100","false","64","500","30"
"4","15","0","20","0","200","0","15","200","false","100","false","67","498","30"
"5","15","0","20","0","200","0","15","200","false","100","false","62","500","30"
"6","15","0","20","0","200","0","15","200","false","100","false","63","500","30"
"3","15","0","20","0","200","0","15","200","false","100","false","58","500","30"
"2","15","0","20","0","200","0","15","200","false","100","false","71","500","30"
"1","15","0","20","0","200","0","15","200","false","100","false","65","500","30"
"4","15","0","20","0","200","0","15","200","false","100","false","68","498","30"
"5","15","0","20","0","200","0","15","200","false","100","false","63","500","30"
"6","15","0","20","0","200","0","15","200","false","100","false","64","500","30"
"2","15","0","20","0","200","0","15","200","false","100","false","72","500","30"
"3","15","0","20","0","200","0","15","200","false","100","false","59","500","30"
"1","15","0","20","0","200","0","15","200","false","100","false","66","500","30"
"5","15","0","20","0","200","0","15","200","false","100","false","64","500","30"
"4","15","0","20","0","200","0","15","200","false","100","false","69","498","30"
"2","15","0","20","0","200","0","15","200","false","100","false","73","500","30"
"6","15","0","20","0","200","0","15","200","false","100","false","65","500","30"
