"BehaviorSpace results (NetLogo 6.1.1)"
"complete.nlogo"
"experiment"
"03/10/2020 19:51:26:889 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","100","-25","30"
"[run number]","attacker-number-beach-a","defender-number-base-a","initial-number-attacking-b26","initial-number-defending-b26","initial-number-t33","initial-number-seaFury","attacker-number-beach-b","defender-number-base-b","show-health","defender-number-base-c","show-ammo","[step]","count turtles","count attackers","count defenders"
"7","15","200","6","11","5","5","15","200","false","100","false","33","557","30","500"
"6","15","200","5","11","5","5","15","200","false","100","false","36","555","29","500"
"2","15","200","1","11","5","5","15","200","false","100","false","33","552","30","500"
"5","15","200","4","11","5","5","15","200","false","100","false","31","555","30","500"
"3","15","200","2","11","5","5","15","200","false","100","false","33","553","30","500"
"8","15","200","7","11","5","5","15","200","false","100","false","36","557","29","500"
"1","15","200","0","11","5","5","15","200","false","100","false","30","551","30","500"
"4","15","200","3","11","5","5","15","200","false","100","false","36","554","30","500"
"7","15","200","6","11","5","5","15","200","false","100","false","34","557","30","500"
"6","15","200","5","11","5","5","15","200","false","100","false","37","555","29","500"
"2","15","200","1","11","5","5","15","200","false","100","false","34","552","30","500"
"5","15","200","4","11","5","5","15","200","false","100","false","32","555","30","500"
"8","15","200","7","11","5","5","15","200","false","100","false","37","557","29","500"
"3","15","200","2","11","5","5","15","200","false","100","false","34","553","30","500"
"4","15","200","3","11","5","5","15","200","false","100","false","37","554","30","500"
"1","15","200","0","11","5","5","15","200","false","100","false","31","551","30","500"
"7","15","200","6","11","5","5","15","200","false","100","false","35","557","30","500"
"6","15","200","5","11","5","5","15","200","false","100","false","38","555","29","500"
"2","15","200","1","11","5","5","15","200","false","100","false","35","552","30","500"
"5","15","200","4","11","5","5","15","200","false","100","false","33","555","30","500"
"8","15","200","7","11","5","5","15","200","false","100","false","38","557","29","500"
"3","15","200","2","11","5","5","15","200","false","100","false","35","553","30","500"
"1","15","200","0","11","5","5","15","200","false","100","false","32","551","30","500"
"7","15","200","6","11","5","5","15","200","false","100","false","36","557","30","500"
"4","15","200","3","11","5","5","15","200","false","100","false","38","554","30","500"
"6","15","200","5","11","5","5","15","200","false","100","false","39","555","29","500"
"2","15","200","1","11","5","5","15","200","false","100","false","36","552","30","500"
"5","15","200","4","11","5","5","15","200","false","100","false","34","555","30","500"
"3","15","200","2","11","5","5","15","200","false","100","false","36","553","30","500"
"8","15","200","7","11","5","5","15","200","false","100","false","39","557","29","500"
"7","15","200","6","11","5","5","15","200","false","100","false","37","557","30","500"
"4","15","200","3","11","5","5","15","200","false","100","false","39","554","30","500"
"6","15","200","5","11","5","5","15","200","false","100","false","40","555","29","500"
"1","15","200","0","11","5","5","15","200","false","100","false","33","551","30","500"
"2","15","200","1","11","5","5","15","200","false","100","false","37","552","30","500"
"5","15","200","4","11","5","5","15","200","false","100","false","35","555","30","500"
"8","15","200","7","11","5","5","15","200","false","100","false","40","557","29","500"
"3","15","200","2","11","5","5","15","200","false","100","false","37","553","30","500"
"4","15","200","3","11","5","5","15","200","false","100","false","40","554","30","500"
"7","15","200","6","11","5","5","15","200","false","100","false","38","557","30","500"
"6","15","200","5","11","5","5","15","200","false","100","false","41","555","29","500"
"1","15","200","0","11","5","5","15","200","false","100","false","34","551","30","500"
"2","15","200","1","11","5","5","15","200","false","100","false","38","552","30","500"
"5","15","200","4","11","5","5","15","200","false","100","false","36","555","30","500"
"8","15","200","7","11","5","5","15","200","false","100","false","41","557","29","500"
"3","15","200","2","11","5","5","15","200","false","100","false","38","553","30","500"
"7","15","200","6","11","5","5","15","200","false","100","false","39","557","30","500"
"6","15","200","5","11","5","5","15","200","false","100","false","42","555","29","500"
"4","15","200","3","11","5","5","15","200","false","100","false","41","554","30","500"
"1","15","200","0","11","5","5","15","200","false","100","false","35","551","30","500"
"2","15","200","1","11","5","5","15","200","false","100","false","39","552","30","500"
"5","15","200","4","11","5","5","15","200","false","100","false","37","555","30","500"
