"BehaviorSpace results (NetLogo 6.1.1)"
"complete.nlogo"
"experiment"
"03/10/2020 19:52:50:578 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","100","-25","30"
,"551","30","500","547","25","500","553","30","500","554","30","500","555","30","500","555","29","500","552","25","500","557","29","500","556","27","500","554","24","500","559","28","500","559","27","500","563","30","500","564","30","500","559","24","500","566","30","500","567","30","500","568","30","500","569","30","500","567","29","498","571","30","500"
,"551","30","500","547","25","500","553","30","500","554","30","500","555","30","500","555","29","500","552","25","500","557","29","500","556","27","500","554","24","500","558","27","500","558","26","500","563","30","500","564","30","500","558","23","500","566","30","500","566","30","499","568","30","500","569","30","500","560","29","491","571","30","500"
,"551","30","500","547","25","500","553","30","500","554","30","500","555","30","500","555","29","500","552","25","500","557","29","500","556","27","500","554","24","500","555","24","500","558","26","500","563","30","500","564","30","500","558","23","500","566","30","500","564","30","497","568","30","500","569","30","500","556","29","487","571","30","500"
,"551","30","500","547","25","500","553","30","500","554","30","500","555","30","500","555","29","500","552","25","500","557","29","500","556","27","500","554","24","500","555","24","500","558","26","500","563","30","500","564","30","500","558","23","500","566","30","500","564","30","497","568","30","500","569","30","500","556","29","487","570","29","500"
,"551","30","500","547","25","500","553","30","500","554","30","500","555","30","500","555","29","500","552","25","500","557","29","500","556","27","500","554","24","500","555","24","500","558","26","500","563","30","500","564","30","500","558","23","500","566","30","500","562","30","495","568","30","500","569","30","500","555","29","486","570","29","500"
,"551","30","500","547","25","500","553","30","500","554","30","500","555","30","500","555","29","500","552","25","500","557","29","500","556","27","500","554","24","500","555","24","500","558","26","500","563","30","500","564","30","500","558","23","500","566","30","500","560","30","493","568","30","500","569","30","500","554","29","485","570","29","500"
,"551","30","500","547","25","500","553","30","500","554","30","500","555","30","500","555","29","500","552","25","500","557","29","500","556","27","500","554","24","500","555","24","500","558","26","500","563","30","500","564","30","500","558","23","500","566","30","500","560","30","493","568","30","500","569","30","500","554","29","485","570","29","500"
,"551","30","500","547","25","500","553","30","500","554","30","500","555","30","500","555","29","500","552","25","500","557","29","500","556","27","500","554","24","500","555","24","500","558","26","500","563","30","500","564","30","500","558","23","500","566","30","500","560","30","493","568","30","500","569","30","500","554","29","485","570","29","500"
,"551","30","500","547","25","500","553","30","500","554","30","500","555","30","500","555","29","500","552","25","500","557","29","500","556","27","500","554","24","500","554","23","500","558","26","500","563","30","500","564","30","500","558","23","500","566","30","500","560","30","493","568","30","500","569","30","500","554","29","485","570","29","500"
,"551","30","500","545","23","500","553","30","500","554","30","500","555","30","500","555","29","500","552","25","500","557","29","500","556","27","500","554","24","500","554","23","500","558","26","500","563","30","500","564","30","500","558","23","500","566","30","500","560","30","493","568","30","500","569","30","500","553","29","484","570","29","500"
,"551","30","500","544","22","500","553","30","500","554","30","500","555","30","500","555","29","500","552","25","500","557","29","500","556","27","500","553","23","500","554","23","500","558","26","500","563","30","500","564","30","500","558","23","500","566","30","500","560","30","493","568","30","500","569","30","500","553","29","484","570","29","500"
